instancia, alpha, numeroiteracionesgrasp, replica, valoroptimo, valorobjetivo, iteracionmejorsolucion, tiempohallarmejorsolucion, tiempototal 
j101.tsp 0.2 8 2 642.3095357906022 665.9230939762293 5 156.76848879839417 223.8233160613927
j101.tsp 0.2 16 2 642.3095357906022 670.811272200325 11 255.4504486528349 378.8739071964046
j101.tsp 0.2 4 3 642.3095357906022 669.3066251915523 4 92.47945283220906 92.4799874422497
j101.tsp 0.2 8 3 642.3095357906022 673.4802015722051 2 44.375884589429916 177.98271799848226
j101.tsp 0.2 16 3 642.3095357906022 668.7637208755361 11 276.6601244605954 415.44372753905554
j101.tsp 0.2 4 4 642.3095357906022 680.5975627543488 3 72.92524183481873 100.17146100078753
j101.tsp 0.2 8 4 642.3095357906022 680.3669462930162 2 59.6489181768884 192.03858670960835
j101.tsp 0.2 16 4 642.3095357906022 670.5987139823436 16 430.50849625455885 430.50893004034515
j101.tsp 0.3 4 1 642.3095357906022 670.3615464342541 3 98.2476104802845 124.47419759440163
j101.tsp 0.3 8 1 642.3095357906022 674.0133302281746 1 29.13732233121482 210.78967124954215
j101.tsp 0.3 16 1 642.3095357906022 668.6238673952051 4 115.45401795215366 454.55720131192356
j101.tsp 0.3 4 2 642.3095357906022 668.5605309810361 1 36.175025772066874 147.48395460493703
j101.tsp 0.3 8 2 642.3095357906022 677.4374105556917 2 53.57273639740379 220.20454282691207
j101.tsp 0.3 16 2 642.3095357906022 673.7929988548512 8 223.2608703789483 450.11244289015303
j101.tsp 0.3 4 3 642.3095357906022 675.7768185375991 3 83.11644839021028 116.41739912669436
j101.tsp 0.3 8 3 642.3095357906022 678.276898539716 6 187.8498162372307 247.34533333131913
j101.tsp 0.3 16 3 642.3095357906022 659.7219881105345 10 294.5378835057236 467.01211158890146
j101.tsp 0.3 4 4 642.3095357906022 670.9216095408211 1 33.64621192111008 119.01530536315477
j101.tsp 0.3 8 4 642.3095357906022 663.148671302649 6 153.03885144874585 202.27879777643466
j101.tsp 0.3 16 4 642.3095357906022 666.6037283012039 5 129.07310241359664 446.83332996246463
j101.tsp 0.4 4 1 642.3095357906022 663.5401628845478 4 123.18270954615582 123.1831976683643
j101.tsp 0.4 8 1 642.3095357906022 664.8916785559782 2 67.1725631245863 277.27370403855457
j101.tsp 0.4 16 1 642.3095357906022 661.1872692363204 4 131.7396171395194 498.8838969479548
j101.tsp 0.4 4 2 642.3095357906022 674.9257145235514 3 105.84430109020104 142.82682981681137
j101.tsp 0.4 8 2 642.3095357906022 663.656266500061 1 40.689137394176214 244.50444970031822
j101.tsp 0.4 16 2 642.3095357906022 659.6680165372803 1 39.96494938410979 523.8737396590986
